mk	chrom.p	pos.start	pos.end	chrom.g	cM
7.076	7	29900001	30000000	7	31.9648326559758
7.077	7	30000001	30100000	7	31.9648327559758
7.078	7	30100001	30200000	7	31.9648328559758
7.079	7	30200001	30300000	7	32.1015368656642
7.08	7	30300001	30400000	7	32.1015369656642
7.081	7	30400001	30500000	7	32.1015370656642
7.082	7	30500001	30600000	7	32.1015371656642
7.084	7	30700001	30800000	7	32.3751320658329
7.085	7	30800001	30900000	7	32.3751321658329
7.087	7	31000001	31500000	7	32.5118366539444
7.088	7	31500001	32000000	7	32.5118367539444
7.089	7	32000001	32500000	7	32.6485412764042
7.09	7	32500001	33000000	7	32.6485413764042
7.091	7	33000001	33500000	7	33.104194765385
7.092	7	33500001	34200000	7	33.3321613753908
7.093	7	34200001	34500000	7	37.3194060216953
7.094	7	34500001	35000000	7	33.3321614753908
7.095	7	35000001	35500000	7	33.6059079271723
7.096	7	35500001	36000000	7	33.7421304226467
7.097	7	36000001	36500000	7	34.7038357346887
7.098	7	36500001	37000000	7	34.8706546549177
7.099	7	37000001	37500000	7	36.8635608027608
7.1	7	37500001	38000000	7	37.1251852639605
7.101	7	38000001	38500000	7	39.1589111543157
7.102	7	38500001	39000000	7	39.6959332643219
7.103	7	39000001	39500000	7	40.6227708473612
7.104	7	39500001	40000000	7	42.5993649397477
7.105	7	40000001	40500000	7	44.0255756129328
7.106	7	40500001	41000000	7	46.4335143602913
7.107	7	41000001	41500000	7	47.086848976827
7.108	7	41500001	42000000	7	48.5926750817514
7.109	7	42000001	42500000	7	49.2158561892916
7.11	7	42500001	43000000	7	51.7412336708839
7.111	7	43000001	43571201	7	52.3110388681743
